Loan_ID,,Customer ID,,ApplicantIncome,,CoapplicantIncome,,Property_Area,,Loan_Status,,,,,,,,,,,
LP001002,"('LP001002',",IP43001,"LP43001',",5849,"5849,",0,"0,",Urban,"urban',",Y,"Y'),",,Insert Data,,,,,,,,
LP001003,"('LP001003',",IP43002,"LP43002',",4583,"4583,",1508,"1508,",Rural,"rural',",N,"N'),",,New Customer Det,,,,,,,,
LP001005,"('LP001005',",IP43003,"LP43003',",3000,"3000,",0,"0,",Urban,"urban',",Y,"Y'),",,Customer _id,Applicant_income,Property_Area,Cibil_Score,Gender,Customer_name,State,Region,Region_Id
LP001006,"('LP001006',",IP43004,"LP43004',",2583,"2583,",2358,"2358,",Urban,"urban',",Y,"Y'),",,IP43615,20000,urban,340,male,Jack.K,Utah,South,13.1
LP001008,"('LP001008',",IP43005,"LP43005',",6000,"6000,",0,"0,",Urban,"urban',",Y,"Y'),",,IP43616,18900,Rural,200,Female,Blake.S,California,West,13.2
LP001011,"('LP001011',",IP43006,"LP43006',",5417,"5417,",4196,"4196,",Urban,"urban',",Y,"Y'),",,IP43617,25000,SemiUrban,450,male,John,Nebraska,Central,13.3
LP001013,"('LP001013',",IP43007,"LP43007',",2333,"2333,",1516,"1516,",Urban,"urban',",Y,"Y'),",,IP43618,1000,Rural,390,Female,Kathy,Pennsylvania,East,13.4
LP001014,"('LP001014',",IP43008,"LP43008',",3036,"3036,",2504,"2504,",Semiurban,"semiurban',",N,"N'),",,IP43619,5000,SemiUrban,280,Male,Blin.D,Utah,West,13.2
LP001018,"('LP001018',",IP43009,"LP43009',",4006,"4006,",1526,"1526,",Urban,"urban',",Y,"Y'),",,IP43620,6500,urban,470,Female,Shelly,California,Central,13.3
LP001020,"('LP001020',",IP43010,"LP43010',",12841,"12841,",10968,"10968,",Semiurban,"semiurban',",N,"N'),",,IP43621,12000,Rural,240,male,Rock,Nebraska,East,13.4
LP001024,"('LP001024',",IP43011,"LP43011',",3200,"3200,",700,"700,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001027,"('LP001027',",IP43012,"LP43012',",2500,"2500,",1840,"1840,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001028,"('LP001028',",IP43013,"LP43013',",3073,"3073,",8106,"8106,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001029,"('LP001029',",IP43014,"LP43014',",1853,"1853,",2840,"2840,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001030,"('LP001030',",IP43015,"LP43015',",1299,"1299,",1086,"1086,",Urban,"urban',",Y,"Y'),",,Customer Criteria,,Low class People Monthly Interest Calculation,,,New Fields Creation based on Interest,,,
LP001032,"('LP001032',",IP43016,"LP43016',",4950,"4950,",0,"0,",Urban,"urban',",Y,"Y'),",,Applicant Income  > 15000 - A_grade_customer,,Applicant Income <5000,Rural = 3%,,Monthly Interest Amount,Annual Interest Amount,,
LP001034,"('LP001034',",IP43017,"LP43017',",3596,"3596,",0,"0,",Urban,"urban',",Y,"Y'),",,Applicant Income  >  9000- B_grade_customer,,Applicant Income <5000,Semi Rural = 3.5%,,,,,
LP001036,"('LP001036',",IP43018,"LP43018',",3510,"3510,",0,"0,",Urban,"urban',",N,"N'),",,Applicant Income  > 5000 - Middle_class_customer,,Applicant Income <5000,Urban = 5%,,,,,
LP001038,"('LP001038',",IP43019,"LP43019',",4887,"4887,",0,"0,",Rural,"rural',",N,"N'),",,Other wise Low_class Customer,,Applicant Income <5000,Semi Urban = 2.5,,,,,
LP001041,"('LP001041',",IP43020,"LP43020',",2600,"2600,",3500,"3500,",Urban,"urban',",Y,"Y'),",,,,Other_wise = 7%,,,,,,
LP001043,"('LP001043',",IP43021,"LP43021',",7660,"7660,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001046,"('LP001046',",IP43022,"LP43022',",5955,"5955,",5625,"5625,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001047,"('LP001047',",IP43023,"LP43023',",2600,"2600,",1911,"1911,",Semiurban,"semiurban',",N,"N'),",,Delete Customer Det,,,,,,,,
LP001050,"('LP001050',",IP43024,"LP43024',",3365,"3365,",1917,"1917,",Rural,"rural',",N,"N'),",,Cibil Score<200,,,,,,,,
LP001052,"('LP001052',",IP43025,"LP43025',",3717,"3717,",2925,"2925,",Semiurban,"semiurban',",N,"N'),",,,,,,,,,,
LP001066,"('LP001066',",IP43026,"LP43026',",9560,"9560,",0,"0,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001068,"('LP001068',",IP43027,"LP43027',",2799,"2799,",2253,"2253,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001073,"('LP001073',",IP43028,"LP43028',",4226,"4226,",1040,"1040,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001086,"('LP001086',",IP43029,"LP43029',",1442,"1442,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001087,"('LP001087',",IP43030,"LP43030',",3750,"3750,",2083,"2083,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001091,"('LP001091',",IP43031,"LP43031',",4166,"4166,",3369,"3369,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001095,"('LP001095',",IP43032,"LP43032',",3167,"3167,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001097,"('LP001097',",IP43033,"LP43033',",4692,"4692,",0,"0,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001098,"('LP001098',",IP43034,"LP43034',",3500,"3500,",1667,"1667,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001100,"('LP001100',",IP43035,"LP43035',",12500,"12500,",3000,"3000,",Rural,"rural',",N,"N'),",,,,,,,,,,
LP001106,"('LP001106',",IP43036,"LP43036',",2275,"2275,",2067,"2067,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001109,"('LP001109',",IP43037,"LP43037',",1828,"1828,",1330,"1330,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001112,"('LP001112',",IP43038,"LP43038',",3667,"3667,",1459,"1459,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001114,"('LP001114',",IP43039,"LP43039',",4166,"4166,",7210,"7210,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001116,"('LP001116',",IP43040,"LP43040',",3748,"3748,",1668,"1668,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001119,"('LP001119',",IP43041,"LP43041',",3600,"3600,",0,"0,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001120,"('LP001120',",IP43042,"LP43042',",1800,"1800,",1213,"1213,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001123,"('LP001123',",IP43043,"LP43043',",2400,"2400,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001131,"('LP001131',",IP43044,"LP43044',",3941,"3941,",2336,"2336,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001136,"('LP001136',",IP43045,"LP43045',",4695,"4695,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001137,"('LP001137',",IP43046,"LP43046',",3410,"3410,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001138,"('LP001138',",IP43047,"LP43047',",5649,"5649,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001144,"('LP001144',",IP43048,"LP43048',",5821,"5821,",0,"0,",Urban,"urban',",Y,"Y'),",,,,,,,,,,
LP001146,"('LP001146',",IP43049,"LP43049',",2645,"2645,",3440,"3440,",Urban,"urban',",N,"N'),",,,,,,,,,,
LP001151,"('LP001151',",IP43050,"LP43050',",4000,"4000,",2275,"2275,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
LP001155,"('LP001155',",IP43051,"LP43051',",1928,"1928,",1644,"1644,",Semiurban,"semiurban',",Y,"Y'),",,,,,,,,,,
